time,p,p_dot,theta,theta_dot,u
0.0,0.0,0.0,0.3,0.0,27.95376232373831
0.02,0.005287037996017445,0.5287825305077194,0.2977635201665093,-0.22374951294366233,22.442948920393693
0.04,0.020082354621133086,0.9509293502971583,0.2915562901543372,-0.3972201829704046,17.840234865530146
0.06,0.04243413923770403,1.284469420443887,0.2822932592508606,-0.5294065941727533,13.994789663083838
0.08,0.07071856370717526,1.5441979109667465,0.2707271544077828,-0.6275622065661401,10.788186941909357
0.1,0.10358300169263804,1.7424571832830453,0.25747863245045616,-0.6976580673392769,8.124190297943485
0.12000000000000001,0.13990229383697778,1.8896625279744872,0.2430588201496365,-0.7446875001443826,5.922252460472672
0.14,0.17874384435195428,1.9946613978752572,0.22788679298806896,-0.7728693231241581,4.1134682665613145
0.16,0.21933882876395386,2.0649867491008944,0.21230365479176308,-0.7857859197534235,2.63809626226105
0.18,0.2610578011725024,2.1070447639111123,0.19658427202332177,-0.7864807335049016,1.4440384225076421
0.19999999999999998,0.3033896496561033,2.126262756748183,0.18094731025679045,-0.7775313037617734,0.485869071918198
0.21999999999999997,0.34592326307380844,2.127212974861484,0.16556395868115156,-0.761107948210355,-0.27584855730694186
0.23999999999999996,0.38833151821889594,2.1137212038729185,0.15056556855246944,-0.7390240293844516,-0.8751141787803451
0.25999999999999995,0.4303573304894771,2.0889647368872817,0.13605034085270135,-0.7127809787922547,-1.340994211875285
0.27999999999999997,0.4718015762069357,2.0555616879494543,0.12208915248957725,-0.6836095362477661,-1.6981140673292663
0.3,0.5125127204342799,2.0156522767209784,0.10873059118222198,-0.6525076973026287,-1.9671479250943147
0.32,0.5523779907419882,1.9709721445387056,0.09600526415535708,-0.6202754021838099,-2.1653008614272657
0.34,0.5913159372914145,1.9229176536589232,0.0839294467459893,-0.5875458519289691,-2.306772880064613
0.36000000000000004,0.6292702197029361,1.8726032406538913,0.07250813920626926,-0.5548133594313294,-2.403194244175806
0.38000000000000006,0.666204464499319,1.8209110931994403,0.06173760094304083,-0.5224577388951064,-2.4640238863128956
0.4000000000000001,0.7020980441817471,1.7685336118931345,0.05160743029166501,-0.4907653482116714,-2.496905907677164
0.4200000000000001,0.7369426396721057,1.716009264839968,0.042102254695354925,-0.4599469940243269,-2.5079822974745416
0.4400000000000001,0.7707394608831329,1.6637525303926204,0.03320309130040892,-0.43015297620780046,-2.502162544338662
0.46000000000000013,0.8034970144190874,1.6120786563300198,0.024888432069599783,-0.4014855856078111,-2.483352631471415
0.48000000000000015,0.8352293218736124,1.5612239528451288,0.017135101120033188,-0.37400938027028197,-2.454647041566642
0.5000000000000001,0.8659545061284557,1.5113622948598973,0.009918925562366482,-0.3477595572913849,-2.4184879661235117
0.5200000000000001,0.8956936759655051,1.4626184482926694,0.0032152549824138047,-0.32274871621140805,-2.3767960594256903
0.5400000000000001,0.9244700509005095,1.415078764631728,-0.0030006409283978835,-0.2989722810478603,-2.3310769345613767
0.5600000000000002,0.952308278313441,1.3687997156436287,-0.008753272110550348,-0.2764128158673129,-2.2825072786338687
0.5800000000000002,0.9792339036908397,1.3238146700729516,-0.014066705133679955,-0.25504343624756765,-2.232004051284779
0.6000000000000002,1.0052729621901138,1.2801392496886033,-0.018964401084545838,-0.23483048803979245,-2.1802797845481217
0.6200000000000002,1.0304516659092788,1.2377755445013263,-0.02346910112392408,-0.21573563663661052,-2.127886562128597
0.6400000000000002,1.054796166342738,1.1967154169270575,-0.02760274910605193,-0.19771748502014383,-2.0752508460355923
0.6600000000000003,1.078332375672845,1.1569430819661983,-0.03138644280471985,-0.1807328173311668,-2.022700950462128
0.6800000000000003,1.1010858339300198,1.1184371145914804,-0.03484040704243839,-0.16473754643870703,-1.9704886415851304
0.7000000000000003,1.1230816117805955,1.08117200577185,-0.03798398343605424,-0.14968742872547308,-1.9188060674578586
0.7200000000000003,1.1443442408857807,1.0451193641193621,-0.040835632610342495,-0.1355385966963008,-1.8677989913747701
0.7400000000000003,1.1648976655159127,1.0102488402502285,-0.04341294564000352,-0.12224794970356453,-1.8175771105694758
0.7600000000000003,1.184765210485153,0.9765288348721884,-0.045732662202571724,-0.1097734347160833,-1.7682220848431973
0.7800000000000004,1.2039695615628083,0.943927038696526,-0.04781069349572909,-0.09807424231615067,-1.7197937717063911
0.8000000000000004,1.2225327553761882,0.9124108419568027,-0.049662148422089054,-0.08711093770929804,-1.6723350611644512
0.8200000000000004,1.2404761764934407,0.8819476431139023,-0.05130136189707152,-0.07684554222845813,-1.6258756201854991
0.8400000000000004,1.2578205599013794,0.8525050798324681,-0.05274192441089671,-0.0672415774010744,-1.5804347905022005
0.8600000000000004,1.274585997503722,0.8240512001909797,-0.05399671219005231,-0.05826408095145713,-1.536023830599477
0.8800000000000004,1.2907919475840683,0.7965545880609666,-0.05507791746974568,-0.04987960198875393,-1.492647650918236
0.9000000000000005,1.3064572464250646,0.769984453435958,-0.0559970785171609,-0.042056180966798626,-1.450306158298933
0.9200000000000005,1.3216001214661144,0.7443106960266509,-0.0567651091440107,-0.03476331870142041,-1.408995299727139
0.9400000000000005,1.3362382055291115,0.7195039485200291,-0.05739232752241185,-0.027971937717495655,-1.3687078750875923
0.9600000000000005,1.3503885517546872,0.6955356044105382,-0.057888484175657604,-0.02165433841118554,-1.3294341727204988
0.9800000000000005,1.3640676489780756,0.6723778341584244,-0.05826278905905305,-0.015784151903849165,-1.291162469172453
1.0000000000000004,1.377291437339882,0.6500035925406191,-0.05852393767879121,-0.010336290994458635,-1.2538794248966152
